node_id,node_name,start_lon,start_lat,end_lon,end_lat
16822289,Yeshi Total - Saris Abo,38.799347,8.866627,38.7692016,8.9444277
16822421,Megenagna - Ferensay,38.8021491,9.0180934,38.7775924,9.0570997
16822501,Megenagna - Gelan Condominium,38.8021491,9.0180934,38.7837651,8.8856808
16822668,Sululta - Addisu Gebeya,38.7589682,9.1824886,38.7374497,9.0594855
16822706,Piassa Arada - Bole Bridge,38.7522029,9.0365871,38.7903601,8.9867261
17008501,Legedadi - Raguel Church,38.9269029,9.0875762,38.7422058,9.0339778
17008592,Tafo Square - Piassa Arada,38.8774561,9.0569623,38.7522029,9.0365871
17008890,Piassa Arada - Bole Bulbula,38.7522029,9.0365871,38.7853078,8.948586
17010982,Raguel Church - Megenagna,38.7422058,9.0339778,38.8021491,9.0180934
17011008,Kidane Mihret - Raguel Church,38.6892387,8.9923549,38.7422058,9.0339778
17011060,Entoto Mariam - Raguel Church,38.7634328,9.0907857,38.7422058,9.0339778
17032690,Mexico - Koye Feche,38.7444332,9.0094665,38.8270083,8.9045894
17032741,Tulu Dimtu - Mexico,38.8041524,8.8556159,38.7444332,9.0094665
17032887,Piassa Arada - Alem Bank Silase,38.7522029,9.0365871,38.6692468,9.007032
17033336,Megenagna - Gelan Condominium,38.8021491,9.0180934,38.7837651,8.8856808
17034807,Yerer Goro - Megenagna,38.8294063,8.9913503,38.8021491,9.0180934
17039849,Addis Alem - Addis Alem,38.3898659,9.0472633,38.3898659,9.0472633
17047999,Addisu Gebeya - Kality Menaheria,38.7374497,9.0594855,38.7705157,8.8974445
17052323,Dire Sololiya - Autobis Tera,38.6478052,9.065191,38.7321005,9.0347276
17071085,Mexico - Kara Kore,38.7444332,9.0094665,38.6817556,8.9755975
17071140,Piassa Arada - Jemmo 1,38.7522029,9.0365871,38.7123763,8.9606358
17073030,Alem Bank - Mexico,38.6776598,9.0010346,38.7444332,9.0094665
17082329,Teji - Merkato,38.3678579,8.8286146,38.7312293,9.0337594
17332417,Chancho - Autobis Tera,38.752757,9.306484,38.7321005,9.0347276
20391484,Megenagna - Fiche Gelila,38.8021491,9.0180934,39.1946476,9.2395927
20391485,Shano - Megenagna,39.2934257,9.3296505,38.8021491,9.0180934
20391486,Megenagna - Beke,38.8021491,9.0180934,39.0558246,9.1604945
